,,,,,,,,
사전화 구조,,,,,Data-Engine-Management Architecture,,,
3Tier_A,Area,Module,연관 계층,,구분,ArchitectureRule,설명,Target
Data,Customer,UserProfile,ER_UN,,아키텍쳐 설계,Metadata First,코드사전/컬럼 메타데이터를 모든 분석·추천의 기준으로 사용,데이터 일관성 / 분석 재현성
,,UserCredit,ER_US,,분석구조,Rule-based → ML 확장,"초기에는 룰/가중치 기반, EC중심 구조",ML 도입 시 구조 변경 (확장성)
,MetaData,Credit,DC_UC,,설명구조,Explainability Layer 분리,점수 산식·추천 사유·기여도 분해를 별도 관리,금융 규제 / 사용자 신뢰
,,Financial,DC_UP,,운영구조,Policy-driven 운영,가중치·임계치·EDA 기준을 Mangement에서 관리,코드 수정 없는 정책 변경 (유지보수)
Engine,Credit&Financial,RiskScoring,DC_UC>DM,,보안구조,Least Privilege & Masking,최소권한·암호화·마스킹·감사로그 기본 적용,개인정보/금융보안 리스크
,,Analysis&Feature,DM>DC_UP,,확장성,모듈 단위 분리,데이터/분석모델/추천모델/관리 분리,외부 API 및 기능 추가·스케일 대응 
,Recommendation,UserNotification,DC_UP,,,,,
,,UserSolution,DC_UC,,"1. 확장 가능한 MetaData : 추가 api 사용시 사전화된 코드를 통해 메타데이터를 정의.
2. 생산 가능한 Report&Explain : 사용자의 데이터를 재가공
3. 확장 가능한 Engine : 재가공된 데이터를 ML을 이용하여 활용",,,
Management,Admin,DataManage,"DC, DM",,,,,
,Report&Explain,EngineManage,"EC, ER",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
REQ_ID,업무구분(대분류),업무구분(중분류),업무구분(소분류),기능유형,세부기능,요구사항명,요구사항 내용,분류코드
REQ-001,DATA,Customer,UserProfile,기능,입력 수집 저장,LV 입력 저장,시스템은 LV1~LV3 사용자 입력값을 입력 레벨 구분 상태로 저장해야 한다.,DC_UP_001
REQ-002,DATA,Customer,UserProfile,기능,입력 정규화,입력 스키마 정규화,시스템은 나이·연소득·성별·고용형태·거주형태·대출목적·총부채·기존대출수 값을 사전 정의된 스키마로 정규화하여 저장해야 한다.,DC_UP_002
REQ-003,DATA,Customer,UserProfile,기능,필수 충족 상태,필수입력 충족 플래그,시스템은 LV1 항목이 모두 입력된 경우에만 “판단가능” 상태 플래그를 저장해야 한다.,DC_UP_003
REQ-004,DATA,Customer,UserProfile,비기능,입력 검증,입력 범위 검증,시스템은 나이·연소득·총부채·기존대출수 값에 대해 허용 범위를 벗어나면 저장을 거부해야 한다.,DC_UP_004
REQ-005,DATA,Customer,UserProfile,비기능,개인정보 보호,LV별 보호정책,시스템은 LV1~LV3 입력값을 레벨별 보안정책에 따라 마스킹 또는 암호화하여 저장해야 한다.,DC_UP_005
REQ-006,DATA,Customer,UserProfile,비기능,동의 이력,수집 동의 저장,시스템은 LV2 및 LV3 항목 수집에 대한 사용자 동의 여부와 동의 시각을 저장해야 한다.,DC_UP_006
REQ-007,DATA,Customer,UserProfile,비기능,목적 제한,목적 태그 저장,시스템은 LV2 및 LV3 항목에 대해 수집 목적 태그를 저장해야 한다.,DC_UP_007
REQ-008,DATA,Customer,UserProfile,비기능,최소 수집,LV1만으로 운영 가능,시스템은 LV2 및 LV3 입력이 없더라도 LV1만으로 추천 판단이 가능하도록 데이터를 저장해야 한다.,DC_UP_008
REQ-009,DATA,Customer,UserProfile,비기능,접근 통제,프로필 접근권한,시스템은 UserProfile 조회·수정 권한을 역할 기반으로 제한해야 한다.,DC_UP_009
REQ-010,DATA,Customer,UserProfile,비기능,이력 관리,프로필 변경 이력,시스템은 UserProfile 변경 시 기존 레코드를 수정하지 않고 신규 이력 레코드를 생성해야 한다.,DC_UP_010
REQ-011,DATA,Customer,UserProfile,비기능,삭제 금지,삭제 대신 비활성,시스템은 UserProfile의 물리적 삭제를 금지하고 비활성 처리만 허용해야 한다.,DC_UP_011
REQ-012,DATA,Customer,UserProfile,비기능,보존 정책,보존기간 적용,시스템은 개인정보 보존기간 정책에 따라 UserProfile을 보존 또는 파기(비가역 처리)해야 한다.,DC_UP_012
REQ-013,DATA,Customer,UserProfile,비기능,감사 로그,프로필 접근 로그,시스템은 UserProfile에 대한 조회·변경 행위를 감사 로그로 남겨야 한다.,DC_UP_013
