table_name,module_area,purpose,primary_key,foreign_keys,req_map,remarks
Provider,Data/MetaData,금융사(공급자) 마스터,provider_id,,ER_US_044,"상품/업로드 로그의 상위 엔티티. provider_type, source_group으로 표준화/수집원 구분."
Metadata_Financial,Data/MetaData,대출 상품 마스터,product_id,"provider_id -> Provider.provider_id","ER_US_044,045","추천/필터/스코어링 기준 상품 속성. (추가: is_active, apply_url, eligibility_json, updated_at)"
Product_Interest_Rate,Data/MetaData,상품 대표 금리(기준일 집계),rate_id,"product_id -> Metadata_Financial.product_id",ER_UN_061,"대표 금리 캐시/요약. 스냅샷 최신값으로 대체 가능."
product_rate_snapshot,Data/MetaData,상품 금리 스냅샷(시점 재현),rate_id,"product_id -> Metadata_Financial.product_id","ER_UN_061,ER_US_049","기준일/유형별 금리 이력. (추가: rate_source, collected_at, condition_json)"
Interest_Rate_Snapshot,Data/MetaData,"(통합 권장) 금리 스냅샷 후보",rate_id,,,"실질 컬럼 부족. product_rate_snapshot으로 통합/제거 권장."
User_Profile,Data/Customer,서비스 사용자,user_id,,"ER_UN_059,MA_DM_066","계정/권한의 주체. (추가: status, last_login_at). 인증 정보는 auth_account 분리 권장."
User_Credit_Lv1,Data/Customer,사용자 기본 신용 프로필(1단계),user_id,"user_id -> User_Profile.user_id",ER_US_049,"나이/연소득/성별 등 핵심 입력(타입 확정 필요 포함)."
User_Credit_Lv2,Data/Customer,사용자 추가 프로필(2단계),user_id,"user_id -> User_Profile.user_id",ER_US_047,"고용/거주 등 추가 입력."
User_Credit_Lv3,Data/Customer,사용자 추가 프로필(3단계),user_id,"user_id -> User_Profile.user_id",ER_US_048,"부채/기존대출/목적 등 입력."
User_Credit_Snapshot,Engine/Input Snapshot,추천/심사 시점 입력 스냅샷,snapshot_id,"user_id -> User_Profile.user_id",ER_US_049,"엔진 입력값을 시점별 고정(재현/감사). 위험지표 스냅샷(user_risk_indicator_snapshot)과 결합."
Metadata_Log,Management/DataManage,원본 업로드 로그,upload_id,"provider_id -> Provider.provider_id","DM_C_002,MA_DM_072","업로드 파일/검증상태/저장경로. (추가: processed_at)"
Quality_Issue,Management/DataManage,품질 결함 추적,issue_id,"upload_id -> Metadata_Log.upload_id","DM_C_004,MA_DM_072","누락/패턴/중복 등 이슈 기록. (추가: severity)"
Code_Dict_Version,Management/DataManage,공통 코드 버전 관리,dict_version_id,"upload_id -> Metadata_Log.upload_id",DM_C_005,"업로드 기준 코드사전 버전. ERD raw_upload 표기를 Metadata_Log로 통일 권장."
code_dict_item,Management/DataManage,버전별 코드사전 항목,item_id,"dict_version_id -> Code_Dict_Version.dict_version_id",DM_C_003,"대/소분류, 컬럼 코드, 정규화 설명, 패턴검증 결과."
code_dict_diff,Management/DataManage,코드 비교 내역,diff_id,"pre_version_id/post_version_id -> Code_Dict_Version.dict_version_id",DM_C_005,"버전 간 ADD/REMOVE/UPDATE 변경 내역."
eda_run,Engine/Analysis&Feature,EDA 실행 기록,eda_run_id,"user_id -> User_Profile.user_id; snapshot_id -> User_Credit_Snapshot.snapshot_id; dict_version_id -> Code_Dict_Version.dict_version_id",EC_AF_025,"EDA 실행 단위."
eda_metric,Engine/Analysis&Feature,EDA 지표 저장,metric_id,"eda_run_id -> eda_run.eda_run_id",EC_AF_026,"결측/분포/상관 등 지표를 JSON으로 저장."
reco_request,Engine/Recommendation,추천 요청,request_id,"user_id -> User_Profile.user_id; snapshot_id -> User_Credit_Snapshot.snapshot_id; dict_version_id -> Code_Dict_Version.dict_version_id","ER_US_041,MA_DM_070","추천 입력 헤더. (추가: request_type, input_validation_json, client_channel, client_version, consent_doc_id)"
reco_result,Engine/Recommendation,추천 결과 요약,result_id,"request_id -> reco_request.request_id; policy_version_id -> policy_version.version_id","ER_US_047,ER_US_055","종합 점수/정책버전/신뢰도 저장. (추가: confidence_score, confidence_detail_json)"
reco_item,Engine/Recommendation,추천 개별 상품 라인,item_id,"result_id -> reco_result.result_id; product_id -> Metadata_Financial.product_id",ER_US_051~056,"매칭점수/예상금리/한도/사유/순위. (추가: score_breakdown_json, explain_template_key)"
monthly_report,Management/Report,월간 리포트,report_id,"user_id -> User_Profile.user_id",MR_EM_080,"월간 요약 리포트(JSON)."
reco_exclusion_log,Engine/Recommendation,추천 제외(탈락) 사유 로그,exclusion_id,"request_id -> reco_request.request_id; product_id -> Metadata_Financial.product_id","ER_US_045,046","탈락 사유(하드필터/컷오프/다양성 등)와 근거(detail_json) 기록."
policy_version,Management/EngineManage,정책 버전 마스터,version_id,"created_by -> User_Profile.user_id","MA_DM_074,ER_US_047","가중치/임계치/템플릿 등의 설정 묶음을 버전으로 관리. reco_result에서 FK로 참조."
policy_weight_config,Management/EngineManage,가중치 설정,id,"version_id -> policy_version.version_id",ER_US_047,"feature_key별 weight 관리(코드 수정 없이 조정)."
policy_threshold_config,Management/EngineManage,임계치/하드필터 설정,id,"version_id -> policy_version.version_id","ER_US_045,046","rule_key/operator/threshold_value로 정책 데이터화."
explanation_template,Management/EngineManage,설명 템플릿 관리,id,"version_id -> policy_version.version_id",ER_US_051~054,"추천 이유 문구를 템플릿화하여 정책 버전과 함께 고정."
confidence_metric_config,Management/EngineManage,신뢰도 지표 정의(선택),id,"version_id -> policy_version.version_id",ER_US_055,"신뢰도 계산 규칙을 JSON으로 관리."
reco_interaction_log,Management/Report,추천 UI 행동 로그,log_id,"user_id -> User_Profile.user_id; request_id -> reco_request.request_id; result_id -> reco_result.result_id; product_id -> Metadata_Financial.product_id",MA_DM_069,"VIEW/CLICK/COMPARE/BOOKMARK 등 사용자 행동 이벤트 저장."
reco_kpi_daily,Management/Report,추천 품질 지표 일 집계(선택),kpi_id,"provider_id -> Provider.provider_id (optional); product_id -> Metadata_Financial.product_id (optional)",MA_DM_069,"로그를 대시보드용으로 일 단위 집계(CTR 등)."
admin_audit_log,Management/Security,관리/고위험 작업 감사로그,audit_id,"actor_user_id -> User_Profile.user_id",MA_DM_068,"정책/상품/코드사전 변경 및 주요 작업 before/after JSON 기록."
credit_event_raw,Data/Credit,원천 신용 이벤트(이력),event_id,"user_id -> User_Profile.user_id",EC_RS,"B코드 등 원천 이벤트 raw_json 포함 저장(재처리/집계 기반)."
user_risk_indicator_snapshot,Engine/Credit&Financial,위험지표 스냅샷,id,"snapshot_id -> User_Credit_Snapshot.snapshot_id",EC_RS,"이력 기반 위험지표를 스냅샷에 부착하여 추천 재현 및 룰 산식 입력으로 활용."
code_dict_tag,Management/DataManage,코드사전 태그 마스터,tag_id,,MA_DM_073,"코드사전 항목을 태그로 분류(검색/운영)."
code_dict_item_tag,Management/DataManage,코드사전 항목-태그 매핑,id,"item_id -> code_dict_item.item_id; tag_id -> code_dict_tag.tag_id",MA_DM_073,"태그 기반 탐색/필터링을 위한 N:M 테이블."
content_guide_article,Management/Content,가이드/용어 콘텐츠,article_id,"created_by -> User_Profile.user_id",MR_EM_082,"대출 용어/가이드 문서(버전/발행상태) 저장."
consent_document,Management/Security,동의서/약관 원문 버전,doc_id,,MA_DM_065,"동의 원문과 doc_version/effective_from 관리(감사/분쟁 대응 근거)."
user_consent,Management/Security,사용자 동의 이력,user_consent_id,"user_id -> User_Profile.user_id; doc_id -> consent_document.doc_id",MA_DM_065,"동의/철회 시각, 채널, IP 등을 저장. reco_request 생성 시 동의 상태 확인."
auth_account,Management/Security,인증 계정(자격정보 분리),account_id,"user_id -> User_Profile.user_id",MA_DM_066,"login_id/password_hash, 실패횟수/잠금 등 인증 운영 정보."
auth_session,Management/Security,세션(서버 세션 방식),session_id,"user_id -> User_Profile.user_id",MA_DM_066,"세션 생성/만료/폐기(강제 로그아웃 포함)."
auth_refresh_token,Management/Security,리프레시 토큰(JWT 방식),token_id,"user_id -> User_Profile.user_id",MA_DM_066,"token_hash 저장 및 폐기/만료 관리(원문 저장 금지)."
auth_role,Management/Security,역할 마스터,role_id,,MA_DM_066,"관리 기능 세분화를 위한 역할 정의."
auth_permission,Management/Security,권한 마스터,perm_id,,MA_DM_066,"권한 키(예: POLICY_EDIT, DATA_UPLOAD) 정의."
